,Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHICAL,Unnamed: 18,GEOGRAPHIC
26,ces,dan,55.36,17,13,0.067155649,4947,12203,0.4053921166926165,0.203165045,0.209224843,0.0008388605939638,0.8934,0.5339,0.5291,0.2431,0.3798,0.0339,0.1557,0.028
27,ces,swe,53.67,18,12,0.045628098,4807,12203,0.3939195279849217,0.193727962,0.209224843,0.0054860794770604,0.8934,0.5542,0.5902,0.0629,0.6068,0.0556,0.1949,0.0459
28,ces,zho,35.64,27,3,0.06283652,4497,12203,0.3685159387035975,0.178585916,0.209224843,0.0214447309807362,1.0,0.5823,0.6673,0.8396,0.4994,1.0,0.4057,0.2837
29,rus,ces,69.33,2,28,0.19612372,114304,6491,17.609613310737945,0.091965586,0.247722217,0.3953330959721628,0.5804,0.4595,0.423,0.2189,0.0099,0.1923,0.19,0.1549
30,rus,nor,52.52,18,12,0.179768003,34170,6491,5.264211985826529,0.106159434,0.247722217,0.3265639704074319,0.8564,0.4793,0.5453,0.2863,0.704,0.1847,0.2209,0.149
31,rus,spa,55.98,12,18,0.197905036,31546,6491,4.859959944538592,0.0791871859999999,0.247722217,0.462860856161397,0.9078,0.4163,0.4644,0.6082,0.4991,0.2742,0.3906,0.2163
32,rus,kor,18.65,29,1,0.143962703,30426,6491,4.687413341549839,0.294432976,0.247722217,0.0355552660058804,1.0,0.6144,0.6388,0.0,0.4994,0.2272,0.4218,0.1814
33,rus,est,53.59,16,14,0.184992628,23460,6491,3.614235094746572,0.221928097,0.247722217,0.0108420527442406,0.9791,0.4507,0.4976,0.4383,0.3213,0.1505,0.2941,0.1182
34,rus,pol,61.85,7,23,0.133385608,22646,6491,3.4888306886458174,0.223329008,0.247722217,0.0096963427221557,0.5319,0.4518,0.4586,0.2966,0.0072,0.1763,0.2372,0.1425
35,rus,nld,56.05,11,19,0.18130215,19452,6491,2.996764751193961,0.133302703,0.247722217,0.2133390129055107,0.8934,0.4839,0.5218,0.2402,0.4984,0.2171,0.248,0.1739
36,rus,por,54.02,15,15,0.1954844919999999,19763,6491,3.044677245416731,0.095460698,0.247722217,0.3777899495139006,0.9037,0.5191,0.5067,0.2196,0.01,0.2778,0.0148,0.219
37,rus,lat,39.6,25,5,6.82e-05,17140,6491,2.640579263595748,0.158874645,0.247722217,0.1286356104657033,0.8564,0.4241,0.4246,0.1085,0.0054,0.2255,0.3676,0.1802
38,rus,fra,55.53,13,17,0.167511868,16032,6491,2.4698813742104453,0.118520741,0.247722217,0.272022629233042,0.9078,0.5353,0.6066,0.8305,0.607,0.2382,0.3879,0.1897
39,rus,deu,56.17,10,20,0.1887939039999999,14613,6491,2.2512709906023725,0.187631727,0.247722217,0.0588412072587547,0.8691,0.4226,0.4989,0.7957,0.6073,0.2039,0.2839,0.1639
40,rus,hin,28.19,28,2,0.051001884,14963,6491,2.305191804036358,0.060393443,0.247722217,0.5718459708485517,0.879,0.4354,0.4959,0.7976,0.4994,0.1618,0.1959,0.1311
41,rus,cat,53.02,17,13,0.18093566,14832,6491,2.285010013865352,0.074013319,0.247722217,0.4917158574026696,0.8989,0.5294,0.5371,0.181,0.4983,0.2546,0.0371,0.202
42,rus,ita,56.68,9,21,0.183390296,13685,6491,2.1083038052688337,0.102554534,0.247722217,0.3434076567769989,0.8934,0.5195,0.4916,0.2172,0.0113,0.221,0.3351,0.1768
43,rus,eng,51.88,20,10,0.161187771,14545,6491,2.240794946849484,0.0961556319999999,0.247722217,0.3743492908681768,0.8934,0.4965,0.555,0.0,0.752,0.2316,0.2983,0.1849
44,rus,fin,48.6,22,8,0.15967067,13581,6491,2.0922816207055925,0.302519355,0.247722217,0.0489311965980708,1.0,0.3634,0.4237,0.0,0.499,0.1415,0.315,0.1151
45,rus,bul,61.89,6,24,0.294326211,10022,6491,1.5439839778154367,0.201446082,0.247722217,0.0348966905674341,0.5804,0.381,0.4268,0.3744,0.0101,0.1796,0.1181,0.145
46,rus,slv,63.98,4,26,0.130658235,9290,6491,1.43121244800493,0.237767323,0.247722217,0.0016148915565436,0.5319,0.4352,0.4706,0.225,0.4992,0.2038,0.2972,0.1637
47,rus,slk,62.46,5,25,0.096139914,9543,6491,1.4701894931443538,0.261917468,0.247722217,0.0032836452821139,0.5319,0.4111,0.4523,0.4134,0.2093,0.1843,0.3265,0.1487
48,rus,ron,59.13,8,22,0.1591592869999999,8795,6491,1.354953011862579,0.167303215,0.247722217,0.1053870971591901,0.8869,0.4832,0.5117,0.3356,0.4991,0.1729,0.2941,0.1398
49,rus,hrv,65.32,3,27,0.156491575,7832,6491,1.2065937451856417,0.216688845,0.247722217,0.0156937965623282,0.6162,0.5019,0.5344,0.4247,0.0317,0.2005,0.2248,0.1612
50,rus,ara,36.46,26,4,0.101398631,6984,6491,1.0759513172084425,0.1033986809999999,0.247722217,0.3394254522639913,1.0,0.6325,0.6349,0.4887,0.2899,1.0,0.2949,0.1491
51,rus,lav,54.69,14,16,0.1168509059999999,6475,6491,0.997535048528732,0.268650981,0.247722217,0.0071376828233272,0.6082,0.4895,0.4885,0.0,0.3213,0.1495,0.3535,0.1216
52,rus,heb,39.76,24,6,0.137630083,5725,6491,0.8819904483130488,0.117344567,0.247722217,0.2769978393220895,1.0,0.4202,0.5608,0.7798,0.4991,0.195,0.1034,0.1569
53,rus,ukr,69.6,1,29,0.1851375189999999,5090,6491,0.7841626867971037,0.31926283,0.247722217,0.0834017950517722,0.2952,0.3665,0.3744,0.309,0.0051,0.1673,0.0882,0.1354
54,rus,ind,48.09,23,7,0.123422172,5036,6491,0.7758434755815745,0.197096308,0.247722217,0.0417653141205777,1.0,0.5484,0.6043,0.813,0.4993,0.3823,0.2817,0.2915
55,rus,dan,52.3,19,11,0.098603073,4947,6491,0.7621321830226467,0.203165045,0.247722217,0.032352311941798,0.8691,0.5295,0.54,0.3105,0.3794,0.1969,0.3214,0.1584
56,rus,swe,51.71,21,9,0.06427226,4807,6491,0.7405638576490525,0.193727962,0.247722217,0.0475078296271544,0.8691,0.551,0.5956,0.2818,0.6067,0.1651,0.0206,0.1338
57,rus,zho,34.69,27,3,0.1062482419999999,4497,6491,0.6928054228932368,0.178585916,0.247722217,0.0778901182826674,1.0,0.541,0.6449,0.8294,0.4995,1.0,0.2986,0.1449
58,nor,ces,61.16,16,14,0.178684302,114304,3450,33.13159420289855,0.091965586,0.206890882,0.3085663475402295,0.8831,0.5301,0.5811,0.0673,0.7041,0.0585,0.3246,0.0483
59,nor,rus,62.73,14,16,0.116973273,55398,3450,16.057391304347828,0.123916395,0.206890882,0.1608445869959945,0.8564,0.4793,0.5453,0.2863,0.704,0.1847,0.2209,0.149
60,nor,spa,63.41,10,20,0.1653848259999999,31546,3450,9.143768115942027,0.0791871859999999,0.206890882,0.380999347119402,0.9176,0.4054,0.461,0.4396,0.7943,0.1153,0.4517,0.0942
61,nor,kor,16.34,29,1,0.103783409,30426,3450,8.81913043478261,0.294432976,0.206890882,0.1790404493901921,1.0,0.5425,0.5887,0.2863,0.7944,0.3892,0.4796,0.2963
62,nor,est,54.56,21,9,0.138073403,23460,3450,6.8,0.221928097,0.206890882,0.0052826533907944,0.9766,0.3641,0.4353,0.2969,0.5095,0.0359,0.16,0.0342
63,nor,pol,58.08,20,10,0.146769214,22646,3450,6.564057971014493,0.223329008,0.206890882,0.0063127982205503,0.8718,0.4732,0.5388,0.0103,0.704,0.0526,0.2971,0.0434
64,nor,nld,65.6,6,24,0.200898811,19452,3450,5.638260869565217,0.133302703,0.206890882,0.1265124918967197,0.7048,0.3635,0.4699,0.0461,0.7941,0.047,0.228,0.0389
65,nor,por,63.03,12,18,0.152596869,19763,3450,5.728405797101449,0.095460698,0.206890882,0.2900834775722393,0.9139,0.3897,0.4804,0.0667,0.7041,0.1109,0.2155,0.0907
66,nor,lat,43.69,24,6,0.024790369,17140,3450,4.9681159420289855,0.158874645,0.206890882,0.0538633724049505,0.8718,0.4984,0.5501,0.1777,0.7041,0.1009,0.4704,0.0826
67,nor,fra,65.42,7,23,0.153546831,16032,3450,4.64695652173913,0.118520741,0.206890882,0.1824434994080858,0.9176,0.3721,0.4814,0.8477,0.6539,0.0715,0.4531,0.0588
68,nor,deu,66.53,4,26,0.177222821,14613,3450,4.235652173913043,0.187631727,0.206890882,0.0086654626509229,0.631,0.2715,0.3713,0.8166,0.654,0.0636,0.3696,0.0524
69,nor,hin,29.05,28,2,0.068817479,14963,3450,4.337101449275362,0.060393443,0.206890882,0.501391957130235,0.8919,0.4799,0.5307,0.8183,0.5636,0.3173,0.3131,0.2472
70,nor,cat,60.37,17,13,0.1802188569999999,14832,3450,4.299130434782609,0.074013319,0.206890882,0.4124968218676225,0.9097,0.3401,0.4344,0.1053,0.5638,0.1031,0.1915,0.0845
71,nor,ita,65.94,5,25,0.173459508,13685,3450,3.966666666666667,0.102554534,0.206890882,0.254324711591998,0.9047,0.4554,0.521,0.069,0.7041,0.0946,0.3739,0.0776
72,nor,eng,72.48,2,28,0.175231553,14545,3450,4.215942028985507,0.0961556319999999,0.206890882,0.2864765506158098,0.7048,0.2738,0.3548,0.2863,0.5269,0.0513,0.3914,0.0423
73,nor,fin,47.95,23,7,0.130090064,13581,3450,3.9365217391304346,0.302519355,0.206890882,0.2136445112763436,1.0,0.4385,0.4996,0.2863,0.7943,0.0478,0.1907,0.0394
74,nor,bul,63.95,9,21,0.1131368859999999,10022,3450,2.904927536231884,0.201446082,0.206890882,0.0006925978856075,0.8831,0.3898,0.4345,0.0881,0.7041,0.1054,0.295,0.0863
